Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,1177,1176,999,51240.328125,0.019496
2,1000,0.0,0.0,50.0,1000,1168,1167,999,49305.375000,0.020261
3,1000,0.0,0.0,50.0,1000,1158,1157,999,49603.351562,0.020140
4,1000,0.0,0.0,50.0,1000,1187,1186,999,48713.886719,0.020507
5,1000,0.0,0.0,50.0,1000,1161,1160,999,49700.710938,0.020100
6,1000,0.0,0.0,50.0,1000,1186,1185,999,49579.378906,0.020150
7,1000,0.0,0.0,50.0,1000,1182,1181,998,49465.605469,0.020176
8,1000,0.0,0.0,50.0,1000,1143,1142,999,51855.621094,0.019265
9,1000,0.0,0.0,50.0,1000,1151,1151,999,50324.492188,0.019851
10,1000,0.0,0.0,50.0,1000,1170,1169,999,48822.183594,0.020462
