Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1880,1691,999,51342.511719,0.019458
2,1000,0.1,0.2,50.0,1000,1934,1755,999,49547.480469,0.020162
3,1000,0.1,0.2,50.0,1000,1953,1752,999,50055.839844,0.019958
4,1000,0.1,0.2,50.0,1000,1870,1688,999,48592.289062,0.020559
5,1000,0.1,0.2,50.0,1000,1847,1669,999,49967.273438,0.019993
6,1000,0.1,0.2,50.0,1000,1836,1670,998,50163.664062,0.019895
7,1000,0.1,0.2,50.0,1000,1946,1753,998,50472.656250,0.019773
8,1000,0.1,0.2,50.0,1000,1909,1715,997,50564.554688,0.019717
9,1000,0.1,0.2,50.0,1000,1961,1740,998,48522.183594,0.020568
10,1000,0.1,0.2,50.0,1000,1917,1739,997,49693.042969,0.020063
