Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1880,1691,999,51342.511719,0.019458
2,1000,0.1,0.2,50.0,1000,1934,1755,999,49547.480469,0.020162
3,1000,0.1,0.2,50.0,1000,1953,1752,999,50055.839844,0.019958
4,1000,0.1,0.2,50.0,1000,1870,1688,999,48592.289062,0.020559
5,1000,0.1,0.2,50.0,1000,1847,1669,999,49967.273438,0.019993
6,1000,0.1,0.2,50.0,1000,1836,1670,998,50163.664062,0.019895
7,1000,0.1,0.2,50.0,1000,1946,1753,998,50472.656250,0.019773
8,1000,0.1,0.2,50.0,1000,1909,1715,997,50564.554688,0.019717
9,1000,0.1,0.2,50.0,1000,1961,1740,998,48522.183594,0.020568
10,1000,0.1,0.2,50.0,1000,1917,1739,997,49693.042969,0.020063
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2429,1936,998,49610.562500,0.020117
2,1000,0.2,0.2,50.0,1000,2467,1973,999,49315.988281,0.020257
3,1000,0.2,0.2,50.0,1000,2518,1995,999,50088.335938,0.019945
4,1000,0.2,0.2,50.0,1000,2463,1984,999,50340.089844,0.019845
5,1000,0.2,0.2,50.0,1000,2399,1927,999,50292.750000,0.019864
6,1000,0.2,0.2,50.0,1000,2437,1933,999,51355.421875,0.019453
7,1000,0.2,0.2,50.0,1000,2484,1980,998,49181.957031,0.020292
8,1000,0.2,0.2,50.0,1000,2364,1907,999,51140.687500,0.019534
9,1000,0.2,0.2,50.0,1000,2570,2034,999,49048.558594,0.020368
10,1000,0.2,0.2,50.0,1000,2403,1911,998,49857.546875,0.020017
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4385,2616,998,50215.300781,0.019874
2,1000,0.4,0.2,50.0,1000,4518,2684,996,50084.136719,0.019887
3,1000,0.4,0.2,50.0,1000,4428,2627,999,49713.621094,0.020095
4,1000,0.4,0.2,50.0,1000,4347,2631,999,50961.617188,0.019603
5,1000,0.4,0.2,50.0,1000,4369,2630,999,50100.003906,0.019940
6,1000,0.4,0.2,50.0,1000,4235,2560,996,50929.578125,0.019556
7,1000,0.4,0.2,50.0,1000,4409,2586,999,49904.164062,0.020018
8,1000,0.4,0.2,50.0,1000,4223,2542,999,51665.070312,0.019336
9,1000,0.4,0.2,50.0,1000,4453,2686,998,49097.972656,0.020327
10,1000,0.4,0.2,50.0,1000,4477,2735,997,48620.882812,0.020506
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,6190,2448,653,50893.136719,0.012831
2,1000,0.6,0.2,50.0,1000,6179,2417,601,50696.792969,0.011855
3,1000,0.6,0.2,50.0,1000,6436,2536,671,49909.183594,0.013444
4,1000,0.6,0.2,50.0,1000,6036,2468,650,50730.472656,0.012813
5,1000,0.6,0.2,50.0,1000,5930,2382,612,48919.531250,0.012510
6,1000,0.6,0.2,50.0,1000,5938,2447,596,50960.007812,0.011695
7,1000,0.6,0.2,50.0,1000,5490,2180,552,48531.625000,0.011374
8,1000,0.6,0.2,50.0,1000,6139,2423,621,49855.980469,0.012456
9,1000,0.6,0.2,50.0,1000,6089,2384,619,48800.683594,0.012684
10,1000,0.6,0.2,50.0,1000,6093,2441,630,48577.207031,0.012969
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,6139,1257,171,50626.316406,0.003378
2,1000,0.8,0.2,50.0,1000,6182,1231,170,51041.957031,0.003331
3,1000,0.8,0.2,50.0,1000,6677,1337,170,49135.226562,0.003460
4,1000,0.8,0.2,50.0,1000,5586,1143,180,51032.777344,0.003527
5,1000,0.8,0.2,50.0,1000,6298,1247,162,51198.031250,0.003164
6,1000,0.8,0.2,50.0,1000,6408,1306,205,49305.843750,0.004158
7,1000,0.8,0.2,50.0,1000,5988,1150,161,50828.390625,0.003168
8,1000,0.8,0.2,50.0,1000,6168,1254,160,50908.800781,0.003143
9,1000,0.8,0.2,50.0,1000,5859,1150,142,48462.050781,0.002930
10,1000,0.8,0.2,50.0,1000,6055,1207,140,49494.835938,0.002829
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1880,1691,999,51342.511719,0.019458
2,1000,0.1,0.2,50.0,1000,1934,1755,999,49547.480469,0.020162
3,1000,0.1,0.2,50.0,1000,1953,1752,999,50055.839844,0.019958
4,1000,0.1,0.2,50.0,1000,1870,1688,999,48592.289062,0.020559
5,1000,0.1,0.2,50.0,1000,1847,1669,999,49967.273438,0.019993
6,1000,0.1,0.2,50.0,1000,1836,1670,998,50163.664062,0.019895
7,1000,0.1,0.2,50.0,1000,1946,1753,998,50472.656250,0.019773
8,1000,0.1,0.2,50.0,1000,1909,1715,997,50564.554688,0.019717
9,1000,0.1,0.2,50.0,1000,1961,1740,998,48522.183594,0.020568
10,1000,0.1,0.2,50.0,1000,1916,1738,998,49759.000000,0.020057
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2413,1922,999,49587.296875,0.020146
2,1000,0.2,0.2,50.0,1000,2467,1973,999,49307.484375,0.020261
3,1000,0.2,0.2,50.0,1000,2519,2001,999,50065.652344,0.019954
4,1000,0.2,0.2,50.0,1000,2463,1984,999,50340.089844,0.019845
5,1000,0.2,0.2,50.0,1000,2399,1927,999,50292.750000,0.019864
6,1000,0.2,0.2,50.0,1000,2437,1933,999,51355.421875,0.019453
7,1000,0.2,0.2,50.0,1000,2484,1980,998,49181.957031,0.020292
8,1000,0.2,0.2,50.0,1000,2361,1909,999,51181.753906,0.019519
9,1000,0.2,0.2,50.0,1000,2570,2034,999,49048.558594,0.020368
10,1000,0.2,0.2,50.0,1000,2403,1911,998,49857.546875,0.020017
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4377,2627,998,49880.003906,0.020008
2,1000,0.4,0.2,50.0,1000,4547,2718,998,50134.609375,0.019906
3,1000,0.4,0.2,50.0,1000,4386,2592,998,49132.343750,0.020312
4,1000,0.4,0.2,50.0,1000,4320,2630,997,50933.781250,0.019574
5,1000,0.4,0.2,50.0,1000,4313,2607,997,49532.476562,0.020128
6,1000,0.4,0.2,50.0,1000,4267,2575,999,51264.468750,0.019487
7,1000,0.4,0.2,50.0,1000,4367,2594,997,49664.246094,0.020075
8,1000,0.4,0.2,50.0,1000,4166,2502,997,51191.128906,0.019476
9,1000,0.4,0.2,50.0,1000,4416,2684,999,50019.476562,0.019972
10,1000,0.4,0.2,50.0,1000,4282,2596,998,49208.023438,0.020281
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9710,3923,996,50308.839844,0.019798
2,1000,0.6,0.2,50.0,1000,9975,3886,999,50610.152344,0.019739
3,1000,0.6,0.2,50.0,1000,9893,3970,999,48948.863281,0.020409
4,1000,0.6,0.2,50.0,1000,9379,3789,989,49939.703125,0.019804
5,1000,0.6,0.2,50.0,1000,32235,6779,584,48424.199219,0.012060
6,1000,0.6,0.2,50.0,1000,9340,3795,996,49899.996094,0.019960
